,0,1,2,3,4,5,6
1322,akoonde01,DeVaughn Akoon-Purcell,-,0,a,https://www.basketball-reference.com/players/a/akoonde01.html,
1323,georgde01,Devean George,2000-2010,0,g,https://www.basketball-reference.com/players/g/georgde01.html,
1324,bookede02,Devin Booker,-,0,b,https://www.basketball-reference.com/players/b/bookede02.html,
1325,bookede01,Devin Booker,2016-2019,1,b,https://www.basketball-reference.com/players/b/bookede01.html,
1326,brownde02,Devin Brown,2003-2010,0,b,https://www.basketball-reference.com/players/b/brownde02.html,
1327,davisde02,Devin Davis,-,0,d,https://www.basketball-reference.com/players/d/davisde02.html,
1328,durrade01,Devin Durrant,1985-1986,0,d,https://www.basketball-reference.com/players/d/durrade01.html,
1329,ebankde01,Devin Ebanks,2011-2013,0,e,https://www.basketball-reference.com/players/e/ebankde01.html,
1330,grayde01,Devin Gray,1997-2000,0,g,https://www.basketball-reference.com/players/g/grayde01.html,
1331,greende01,Devin Green,2006,0,g,https://www.basketball-reference.com/players/g/greende01.html,
1332,harride01,Devin Harris,2005-2019,1,h,https://www.basketball-reference.com/players/h/harride01.html,
1333,robinde01,Devin Robinson,2018,1,r,https://www.basketball-reference.com/players/r/robinde01.html,
1334,sweetde01,Devin Sweetney,-,0,s,https://www.basketball-reference.com/players/s/sweetde01.html,
1335,willide03,Devin Williams,-,0,w,https://www.basketball-reference.com/players/w/willide03.html,
1336,hallde01,Devon Hall,-,0,h,https://www.basketball-reference.com/players/h/hallde01.html,
1337,hardide01,DeVon Hardin,-,0,h,https://www.basketball-reference.com/players/h/hardide01.html,
1338,grahade01,Devonte' Graham,-,0,g,https://www.basketball-reference.com/players/g/grahade01.html,
1339,marblde01,Devyn Marble,2015-2016,0,m,https://www.basketball-reference.com/players/m/marblde01.html,
1340,dedmode01,Dewayne Dedmon,2014-2018,1,d,https://www.basketball-reference.com/players/d/dedmode01.html,
1341,scalede01,DeWayne Scales,1981-1984,0,s,https://www.basketball-reference.com/players/s/scalede01.html,
1342,menyade01,Dewitt Menyard,1968,0,m,https://www.basketball-reference.com/players/m/menyade01.html,
1343,boneyde01,Dexter Boney,1997,0,b,https://www.basketball-reference.com/players/b/boneyde01.html,
1344,cambrde01,Dexter Cambridge,1993,0,c,https://www.basketball-reference.com/players/c/cambrde01.html,
1345,pittmde01,Dexter Pittman,2011-2014,0,p,https://www.basketball-reference.com/players/p/pittmde01.html,
1346,shousde01,Dexter Shouse,1990,0,s,https://www.basketball-reference.com/players/s/shousde01.html,
1347,stricde01,Dexter Strickland,-,0,s,https://www.basketball-reference.com/players/s/stricde01.html,
1348,westbde01,Dexter Westbrook,1968,0,w,https://www.basketball-reference.com/players/w/westbde01.html,
1349,davisde01,Deyonta Davis,2017-2018,1,d,https://www.basketball-reference.com/players/d/davisde01.html,
1350,wellsde01,Dez Wells,-,0,w,https://www.basketball-reference.com/players/w/wellsde01.html,
1351,stonedi01,Diamond Stone,2017,1,s,https://www.basketball-reference.com/players/s/stonedi01.html,
1352,garredi02,Diante Garrett,2013-2014,0,g,https://www.basketball-reference.com/players/g/garredi02.html,
1353,athadi01,Dick Atha,1956-1958,0,a,https://www.basketball-reference.com/players/a/athadi01.html,
1354,barnedi01,Dick Barnett,1960-1974,0,b,https://www.basketball-reference.com/players/b/barnedi01.html,
1355,buntdi01,Dick Bunt,1953,0,b,https://www.basketball-reference.com/players/b/buntdi01.html,
1356,cunnidi01,Dick Cunningham,1969-1975,0,c,https://www.basketball-reference.com/players/c/cunnidi01.html,
1357,dickedi01,Dick Dickey,1952,0,d,https://www.basketball-reference.com/players/d/dickedi01.html,
1358,duckedi01,Dick Duckett,1958,0,d,https://www.basketball-reference.com/players/d/duckedi01.html,
1359,farledi01,Dick Farley,1955-1959,0,f,https://www.basketball-reference.com/players/f/farledi01.html,
1360,fitzgdi01,Dick Fitzgerald,1947-1948,0,f,https://www.basketball-reference.com/players/f/fitzgdi01.html,
1361,garmadi01,Dick Garmaker,1956-1961,0,g,https://www.basketball-reference.com/players/g/garmadi01.html,
1362,garredi01,Dick Garrett,1970-1974,0,g,https://www.basketball-reference.com/players/g/garredi01.html,
1363,gibbsdi01,Dick Gibbs,1972-1976,0,g,https://www.basketball-reference.com/players/g/gibbsdi01.html,
1364,groatdi01,Dick Groat,1953,0,g,https://www.basketball-reference.com/players/g/groatdi01.html,
1365,grubadi01,Dick Grubar,1970,0,g,https://www.basketball-reference.com/players/g/grubadi01.html,
1366,hemridi01,Dick Hemric,1956-1957,0,h,https://www.basketball-reference.com/players/h/hemridi01.html,
1367,holubdi01,Dick Holub,1948,0,h,https://www.basketball-reference.com/players/h/holubdi01.html,
1368,knostdi01,Dick Knostman,1954,0,k,https://www.basketball-reference.com/players/k/knostdi01.html,
1369,leedi01,Dick Lee,1968,0,l,https://www.basketball-reference.com/players/l/leedi01.html,
1370,mcguidi01,Dick McGuire,1950-1960,0,m,https://www.basketball-reference.com/players/m/mcguidi01.html,
1371,mehendi01,Dick Mehen,1950-1952,0,m,https://www.basketball-reference.com/players/m/mehendi01.html,
1372,milledi01,Dick Miller,1981,0,m,https://www.basketball-reference.com/players/m/milledi01.html,
1373,murphdi01,Dick Murphy,1947,0,m,https://www.basketball-reference.com/players/m/murphdi01.html,
1374,nemeldi01,Dick Nemelka,1971,0,n,https://www.basketball-reference.com/players/n/nemeldi01.html,
1375,okeefdi01,Dick O'Keefe,1948-1951,0,o,https://www.basketball-reference.com/players/o/okeefdi01.html,
1376,rickedi01,Dick Ricketts,1956-1958,0,r,https://www.basketball-reference.com/players/r/rickedi01.html,
1377,rosendi01,Dick Rosenthal,1955-1957,0,r,https://www.basketball-reference.com/players/r/rosendi01.html,
1378,schnidi01,Dick Schnittker,1951-1958,0,s,https://www.basketball-reference.com/players/s/schnidi01.html,
1379,schuldi01,Dick Schulz,1947-1950,0,s,https://www.basketball-reference.com/players/s/schuldi01.html,
1380,shriddi01,Dick Shrider,1949,0,s,https://www.basketball-reference.com/players/s/shriddi01.html,
1381,snydedi01,Dick Snyder,1967-1979,0,s,https://www.basketball-reference.com/players/s/snydedi01.html,
1382,surhodi01,Dick Surhoff,1953-1954,0,s,https://www.basketball-reference.com/players/s/surhodi01.html,
1383,triptdi01,Dick Triptow,1949-1950,0,t,https://www.basketball-reference.com/players/t/triptdi01.html,
1384,vanardi01,Dick Van Arsdale,1966-1977,0,v,https://www.basketball-reference.com/players/v/vanardi01.html,
1385,wehrdi01,Dick Wehr,1949,0,w,https://www.basketball-reference.com/players/w/wehrdi01.html,
1386,simpkdi01,Dickey Simpkins,1995-2002,0,s,https://www.basketball-reference.com/players/s/simpkdi01.html,
1387,thompdi01,Dijon Thompson,2006-2007,0,t,https://www.basketball-reference.com/players/t/thompdi01.html,
1388,eddledi01,Dike Eddleman,1950-1953,0,e,https://www.basketball-reference.com/players/e/eddledi01.html,
1389,mutomdi01,Dikembe Mutombo,1992-2009,0,m,https://www.basketball-reference.com/players/m/mutomdi01.html,
1390,crockdi01,Dillard Crocker,1949-1953,0,c,https://www.basketball-reference.com/players/c/crockdi01.html,
1391,brookdi01,Dillon Brooks,2018-2019,1,b,https://www.basketball-reference.com/players/b/brookdi01.html,
1392,agravdi01,Dimitrios Agravanis,-,0,a,https://www.basketball-reference.com/players/a/agravdi01.html,
1393,yanyudi01,Ding Yanyuhang,-,0,y,https://www.basketball-reference.com/players/y/yanyudi01.html,
1394,martidi01,Dino Martin,1947-1948,0,m,https://www.basketball-reference.com/players/m/martidi01.html,
1395,radjadi01,Dino Radja,1994-1997,0,r,https://www.basketball-reference.com/players/r/radjadi01.html,
1396,glovedi01,Dion Glover,2000-2005,0,g,https://www.basketball-reference.com/players/g/glovedi01.html,
1397,waitedi01,Dion Waiters,2013-2018,1,w,https://www.basketball-reference.com/players/w/waitedi01.html,
1398,chrisdi01,Dionte Christmas,2014,0,c,https://www.basketball-reference.com/players/c/chrisdi01.html,
1399,minnidi01,Dirk Minniefield,1986-1988,0,m,https://www.basketball-reference.com/players/m/minnidi01.html,
1400,nowitdi01,Dirk Nowitzki,1999-2018,1,n,https://www.basketball-reference.com/players/n/nowitdi01.html,
1401,hoggdj01,DJ Hogg,-,0,h,https://www.basketball-reference.com/players/h/hoggdj01.html,
1402,thiamdj01,Djibril Thiam,-,0,t,https://www.basketball-reference.com/players/t/thiamdj01.html,
1403,riverdo01,Doc Rivers,1984-1996,0,r,https://www.basketball-reference.com/players/r/riverdo01.html,
1404,schaydo01,Dolph Schayes,1950-1964,0,s,https://www.basketball-reference.com/players/s/schaydo01.html,
1405,sabondo01,Domantas Sabonis,2017-2019,1,s,https://www.basketball-reference.com/players/s/sabondo01.html,
1406,mcguido01,Dominic McGuire,2008-2013,0,m,https://www.basketball-reference.com/players/m/mcguido01.html,
1407,pressdo01,Dominic Pressley,1989,0,p,https://www.basketball-reference.com/players/p/pressdo01.html,
1408,waterdo01,Dominic Waters,-,0,w,https://www.basketball-reference.com/players/w/waterdo01.html,
1409,jonesdo02,Dominique Jones,2011-2013,0,j,https://www.basketball-reference.com/players/j/jonesdo02.html,
1410,wilkido01,Dominique Wilkins,1983-1999,0,w,https://www.basketball-reference.com/players/w/wilkido01.html,
1411,ackerdo01,Don Ackerman,1954,0,a,https://www.basketball-reference.com/players/a/ackerdo01.html,
1412,adamsdo01,Don Adams,1971-1977,0,a,https://www.basketball-reference.com/players/a/adamsdo01.html,
1413,anieldo01,Don Anielak,1955,0,a,https://www.basketball-reference.com/players/a/anieldo01.html,
1414,asmondo01,Don Asmonga,1954,0,a,https://www.basketball-reference.com/players/a/asmondo01.html,
1415,barksdo01,Don Barksdale,1952-1955,0,b,https://www.basketball-reference.com/players/b/barksdo01.html,
1416,bielkdo01,Don Bielke,1956,0,b,https://www.basketball-reference.com/players/b/bielkdo01.html,
1417,bovendo01,Don Boven,1950-1953,0,b,https://www.basketball-reference.com/players/b/bovendo01.html,
1418,busedo01,Don Buse,1973-1985,0,b,https://www.basketball-reference.com/players/b/busedo01.html,
1419,carlodo01,Don Carlos,1969,0,c,https://www.basketball-reference.com/players/c/carlodo01.html,
1420,carlsdo01,Don Carlson,1947-1951,0,c,https://www.basketball-reference.com/players/c/carlsdo01.html,
1421,chanedo01,Don Chaney,1969-1980,0,c,https://www.basketball-reference.com/players/c/chanedo01.html,
1422,collido02,Don Collins,1981-1987,0,c,https://www.basketball-reference.com/players/c/collido02.html,
1423,deedo01,Don Dee,1969,0,d,https://www.basketball-reference.com/players/d/deedo01.html,
1424,eliasdo01,Don Eliason,1947,0,e,https://www.basketball-reference.com/players/e/eliasdo01.html,
1425,forddo01,Don Ford,1976-1982,0,f,https://www.basketball-reference.com/players/f/forddo01.html,
1426,gratedo01,Don Grate,1950,0,g,https://www.basketball-reference.com/players/g/gratedo01.html,
1427,hanrado01,Don Hanrahan,1953,0,h,https://www.basketball-reference.com/players/h/hanrado01.html,
1428,henrido01,Don Henriksen,1953-1955,0,h,https://www.basketball-reference.com/players/h/henrido01.html,
1429,kojisdo01,Don Kojis,1964-1975,0,k,https://www.basketball-reference.com/players/k/kojisdo01.html,
1430,lofgrdo01,Don Lofgran,1951-1954,0,l,https://www.basketball-reference.com/players/l/lofgrdo01.html,
1431,macledo01,Don MacLean,1993-2001,0,m,https://www.basketball-reference.com/players/m/macledo01.html,
1432,martido01,Don Martin,1947-1949,0,m,https://www.basketball-reference.com/players/m/martido01.html,
1433,maydo01,Don May,1969-1975,0,m,https://www.basketball-reference.com/players/m/maydo01.html,
1434,nelsodo01,Don Nelson,1963-1976,0,n,https://www.basketball-reference.com/players/n/nelsodo01.html,
1435,ohldo01,Don Ohl,1961-1970,0,o,https://www.basketball-reference.com/players/o/ohldo01.html,
1436,ottendo01,Don Otten,1950-1953,0,o,https://www.basketball-reference.com/players/o/ottendo01.html,
1437,putnado01,Don Putman,1947-1950,0,p,https://www.basketball-reference.com/players/p/putnado01.html,
1438,raydo01,Don Ray,1950,0,r,https://www.basketball-reference.com/players/r/raydo01.html,
1439,rehfedo01,Don Rehfeldt,1951-1952,0,r,https://www.basketball-reference.com/players/r/rehfedo01.html,
1440,reiddo01,Don Reid,1996-2003,0,r,https://www.basketball-reference.com/players/r/reiddo01.html,
1441,savagdo01,Don Savage,1952-1957,0,s,https://www.basketball-reference.com/players/s/savagdo01.html,
1442,smithdo02,Don Smith,1975,0,s,https://www.basketball-reference.com/players/s/smithdo02.html,
1443,smithdo01,Don Smith,1949,0,s,https://www.basketball-reference.com/players/s/smithdo01.html,
1444,sundedo01,Don Sunderlage,1954-1955,0,s,https://www.basketball-reference.com/players/s/sundedo01.html,
1445,hodgedo01,Donald Hodge,1992-1996,0,h,https://www.basketball-reference.com/players/h/hodgedo01.html,
1446,royaldo01,Donald Royal,1990-1998,0,r,https://www.basketball-reference.com/players/r/royaldo01.html,
1447,sidledo01,Donald Sidle,1969-1972,0,s,https://www.basketball-reference.com/players/s/sidledo01.html,
1448,sloando01,Donald Sloan,2012-2016,1,s,https://www.basketball-reference.com/players/s/sloando01.html,
1449,washido01,Donald Washington,1975-1976,0,w,https://www.basketball-reference.com/players/w/washido01.html,
1450,whitedo01,Donald Whiteside,1997-1998,0,w,https://www.basketball-reference.com/players/w/whitedo01.html,
1451,motiedo01,Donatas Motiejunas,2013-2017,1,m,https://www.basketball-reference.com/players/m/motiedo01.html,
1452,taylodo01,Donell Taylor,2006-2007,0,t,https://www.basketball-reference.com/players/t/taylodo01.html,
1453,harvedo01,Donnell Harvey,2001-2005,0,h,https://www.basketball-reference.com/players/h/harvedo01.html,
1454,boycedo01,Donnie Boyce,1996-1997,0,b,https://www.basketball-reference.com/players/b/boycedo01.html,
1455,butchdo01,Donnie Butcher,1962-1966,0,b,https://www.basketball-reference.com/players/b/butchdo01.html,
1456,formado01,Donnie Forman,1949,0,f,https://www.basketball-reference.com/players/f/formado01.html,
1457,freemdo01,Donnie Freeman,1968-1976,0,f,https://www.basketball-reference.com/players/f/freemdo01.html,
1458,marshdo02,Donny Marshall,1996-2003,0,m,https://www.basketball-reference.com/players/m/marshdo02.html,
1459,mitchdo01,Donovan Mitchell,2018-2019,1,m,https://www.basketball-reference.com/players/m/mitchdo01.html,
1460,smithdo04,Donta Smith,2005-2006,0,s,https://www.basketball-reference.com/players/s/smithdo04.html,
1461,jonesdo01,Dontae' Jones,1998,0,j,https://www.basketball-reference.com/players/j/jonesdo01.html,
1462,divindo01,Donte DiVincenzo,2019,1,d,https://www.basketball-reference.com/players/d/divindo01.html,
1463,grantdo01,Donte Grantham,-,0,g,https://www.basketball-reference.com/players/g/grantdo01.html,
1464,greendo01,Donte Greene,2009-2012,0,g,https://www.basketball-reference.com/players/g/greendo01.html,
1465,ingrado01,Donte Ingram,-,0,i,https://www.basketball-reference.com/players/i/ingrado01.html,
1466,jeffedo01,Dontell Jefferson,2009,0,j,https://www.basketball-reference.com/players/j/jeffedo01.html,
1467,wingfdo01,Dontonio Wingfield,1995-1998,0,w,https://www.basketball-reference.com/players/w/wingfdo01.html,
1468,marshdo01,Donyell Marshall,1995-2009,0,m,https://www.basketball-reference.com/players/m/marshdo01.html,
1469,mooredo01,Doral Moore,-,0,m,https://www.basketball-reference.com/players/m/mooredo01.html,
1470,wrighdo01,Dorell Wright,2005-2015,0,w,https://www.basketball-reference.com/players/w/wrighdo01.html,
1471,finnedo01,Dorian Finney-Smith,2017-2019,1,f,https://www.basketball-reference.com/players/f/finnedo01.html,
1472,murredo01,Dorie Murrey,1967-1972,0,m,https://www.basketball-reference.com/players/m/murredo01.html,
1473,lambdo01,Doron Lamb,2013-2014,0,l,https://www.basketball-reference.com/players/l/lambdo01.html,
1474,bolstdo01,Doug Bolstorff,1958,0,b,https://www.basketball-reference.com/players/b/bolstdo01.html,
1475,chrisdo01,Doug Christie,1993-2007,0,c,https://www.basketball-reference.com/players/c/chrisdo01.html,
1476,collido01,Doug Collins,1974-1981,0,c,https://www.basketball-reference.com/players/c/collido01.html,
1477,edwardo01,Doug Edwards,1994-1996,0,e,https://www.basketball-reference.com/players/e/edwardo01.html,
1478,holcodo01,Doug Holcomb,1949,0,h,https://www.basketball-reference.com/players/h/holcodo01.html,
1479,kistldo01,Doug Kistler,1962,0,k,https://www.basketball-reference.com/players/k/kistldo01.html,
1480,leedo01,Doug Lee,1992-1995,0,l,https://www.basketball-reference.com/players/l/leedo01.html,
1481,mcderdo01,Doug McDermott,2015-2019,1,m,https://www.basketball-reference.com/players/m/mcderdo01.html,
1482,moedo01,Doug Moe,1968-1972,0,m,https://www.basketball-reference.com/players/m/moedo01.html,
1483,overtdo01,Doug Overton,1993-2004,0,o,https://www.basketball-reference.com/players/o/overtdo01.html,
1484,rothdo01,Doug Roth,1990,0,r,https://www.basketball-reference.com/players/r/rothdo01.html,
1485,simsdo01,Doug Sims,1969,0,s,https://www.basketball-reference.com/players/s/simsdo01.html,
1486,smithdo03,Doug Smith,1992-1996,0,s,https://www.basketball-reference.com/players/s/smithdo03.html,
1487,westdo01,Doug West,1990-2001,0,w,https://www.basketball-reference.com/players/w/westdo01.html,
1488,parrado01,Doyle Parrack,1947,0,p,https://www.basketball-reference.com/players/p/parrado01.html,
1489,bendedr01,Dragan Bender,2017-2018,1,b,https://www.basketball-reference.com/players/b/bendedr01.html,
1490,tarladr01,Dragan Tarlac,2001,0,t,https://www.basketball-reference.com/players/t/tarladr01.html,
1491,greendr01,Draymond Green,2013-2019,1,g,https://www.basketball-reference.com/players/g/greendr01.html,
1492,petrodr01,Drazen Petrovic,1990-1993,0,p,https://www.basketball-reference.com/players/p/petrodr01.html,
1493,barrydr01,Drew Barry,1998-2000,0,b,https://www.basketball-reference.com/players/b/barrydr01.html,
1494,crawfan01,Drew Crawford,-,0,c,https://www.basketball-reference.com/players/c/crawfan01.html,
1495,eubandr01,Drew Eubanks,-,0,e,https://www.basketball-reference.com/players/e/eubandr01.html,
1496,goodedr01,Drew Gooden,2003-2016,0,g,https://www.basketball-reference.com/players/g/goodedr01.html,
1497,gordodr01,Drew Gordon,2015,0,g,https://www.basketball-reference.com/players/g/gordodr01.html,
1498,causwdu01,Duane Causwell,1991-2001,0,c,https://www.basketball-reference.com/players/c/causwdu01.html,
1499,coopedu01,Duane Cooper,1993-1994,0,c,https://www.basketball-reference.com/players/c/coopedu01.html,
1500,ferredu01,Duane Ferrell,1989-1999,0,f,https://www.basketball-reference.com/players/f/ferredu01.html,
1501,kluehdu01,Duane Klueh,1950-1951,0,k,https://www.basketball-reference.com/players/k/kluehdu01.html,
1502,washidu01,Duane Washington,1988-1993,0,w,https://www.basketball-reference.com/players/w/washidu01.html,
1503,willidu01,Duck Williams,1980,0,w,https://www.basketball-reference.com/players/w/willidu01.html,
1504,bradldu01,Dudley Bradley,1980-1989,0,b,https://www.basketball-reference.com/players/b/bradldu01.html,
1505,dukandu01,Duje Dukan,2016,0,d,https://www.basketball-reference.com/players/d/dukandu01.html,
1506,robindu01,Duncan Robinson,-,0,r,https://www.basketball-reference.com/players/r/robindu01.html,
1507,scottdu01,Durand Scott,-,0,s,https://www.basketball-reference.com/players/s/scottdu01.html,
1508,dilladw01,Dwaine Dillard,1976,0,d,https://www.basketball-reference.com/players/d/dilladw01.html,
1509,bacondw01,Dwayne Bacon,2018-2019,1,b,https://www.basketball-reference.com/players/b/bacondw01.html,
1510,collidw01,Dwayne Collins,-,0,c,https://www.basketball-reference.com/players/c/collidw01.html,
1511,davisdw02,Dwayne Davis,-,0,d,https://www.basketball-reference.com/players/d/davisdw02.html,
1512,jonesdw02,Dwayne Jones,2006-2010,0,j,https://www.basketball-reference.com/players/j/jonesdw02.html,
1513,mccladw01,Dwayne McClain,1986,0,m,https://www.basketball-reference.com/players/m/mccladw01.html,
1514,mortodw01,Dwayne Morton,1995,0,m,https://www.basketball-reference.com/players/m/mortodw01.html,
1515,poleedw01,Dwayne Polee,1987,0,p,https://www.basketball-reference.com/players/p/poleedw01.html,
1516,schindw01,Dwayne Schintzius,1991-1999,0,s,https://www.basketball-reference.com/players/s/schindw01.html,
1517,whitfdw01,Dwayne Whitfield,1996,0,w,https://www.basketball-reference.com/players/w/whitfdw01.html,
1518,anderdw01,Dwight Anderson,1983,0,a,https://www.basketball-reference.com/players/a/anderdw01.html,
1519,buyckdw01,Dwight Buycks,2014-2018,1,b,https://www.basketball-reference.com/players/b/buyckdw01.html,
1520,davisdw01,Dwight Davis,1973-1977,0,d,https://www.basketball-reference.com/players/d/davisdw01.html,
1521,howardw01,Dwight Howard,2005-2018,1,h,https://www.basketball-reference.com/players/h/howardw01.html,
1522,jonesdw01,Dwight Jones,1974-1983,0,j,https://www.basketball-reference.com/players/j/jonesdw01.html,
1523,poweldw01,Dwight Powell,2015-2019,1,p,https://www.basketball-reference.com/players/p/poweldw01.html,
1524,walledw01,Dwight Waller,1969-1972,0,w,https://www.basketball-reference.com/players/w/walledw01.html,
1525,wadedw01,Dwyane Wade,2004-2019,1,w,https://www.basketball-reference.com/players/w/wadedw01.html,
1526,nixdy01,Dyron Nix,1990,0,n,https://www.basketball-reference.com/players/n/nixdy01.html,
1527,musadz01,Dzanan Musa,-,0,m,https://www.basketball-reference.com/players/m/musadz01.html,
1528,mooreet01,E'Twaun Moore,2012-2019,1,m,https://www.basketball-reference.com/players/m/mooreet01.html,
1529,colemec01,E.C. Coleman,1974-1979,0,c,https://www.basketball-reference.com/players/c/colemec01.html,
1530,singlej01,E.J. Singler,-,0,s,https://www.basketball-reference.com/players/s/singlej01.html,
1531,barroea01,Earl Barron,2006-2015,0,b,https://www.basketball-reference.com/players/b/barroea01.html,
1532,boykiea01,Earl Boykins,1999-2012,0,b,https://www.basketball-reference.com/players/b/boykiea01.html,
1533,clarkea01,Earl Clark,2010-2015,0,c,https://www.basketball-reference.com/players/c/clarkea01.html,
1534,curetea01,Earl Cureton,1981-1997,0,c,https://www.basketball-reference.com/players/c/curetea01.html,
1535,doddea01,Earl Dodd,1950,0,d,https://www.basketball-reference.com/players/d/doddea01.html,
1536,evansea01,Earl Evans,1980,0,e,https://www.basketball-reference.com/players/e/evansea01.html,
1537,gardnea01,Earl Gardner,1949,0,g,https://www.basketball-reference.com/players/g/gardnea01.html,
1538,jonesea01,Earl Jones,1985-1986,0,j,https://www.basketball-reference.com/players/j/jonesea01.html,
1539,lloydea01,Earl Lloyd,1951-1960,0,l,https://www.basketball-reference.com/players/l/lloydea01.html,
1540,monroea01,Earl Monroe,1968-1980,0,m,https://www.basketball-reference.com/players/m/monroea01.html,
1541,shannea01,Earl Shannon,1947-1949,0,s,https://www.basketball-reference.com/players/s/shannea01.html,
1542,tatumea01,Earl Tatum,1977-1980,0,t,https://www.basketball-reference.com/players/t/tatumea01.html,
1543,watsoea01,Earl Watson,2002-2014,0,w,https://www.basketball-reference.com/players/w/watsoea01.html,
1544,williea01,Earl Williams,1975-1979,0,w,https://www.basketball-reference.com/players/w/williea01.html,
1545,higgiea01,Earle Higgins,1971,0,h,https://www.basketball-reference.com/players/h/higgiea01.html,
1546,killuea01,Earnie Killum,1971,0,k,https://www.basketball-reference.com/players/k/killuea01.html,
1547,parhaea01,Easy Parham,1949-1951,0,p,https://www.basketball-reference.com/players/p/parhaea01.html,
1548,barteed01,Ed Bartels,1950-1951,0,b,https://www.basketball-reference.com/players/b/barteed01.html,
1549,beached01,Ed Beach,1951,0,b,https://www.basketball-reference.com/players/b/beached01.html,
1550,biedeed01,Ed Biedenbach,1969,0,b,https://www.basketball-reference.com/players/b/biedeed01.html,
1551,burtoed01,Ed Burton,1962-1965,0,b,https://www.basketball-reference.com/players/b/burtoed01.html,
1552,conlied01,Ed Conlin,1956-1962,0,c,https://www.basketball-reference.com/players/c/conlied01.html,
1553,dahleed01,Ed Dahler,1952,0,d,https://www.basketball-reference.com/players/d/dahleed01.html,
1554,danieed01,Ed Daniel,-,0,d,https://www.basketball-reference.com/players/d/danieed01.html,
1555,davised01,Ed Davis,2011-2019,1,d,https://www.basketball-reference.com/players/d/davised01.html,
1556,earleed01,Ed Earle,1954,0,e,https://www.basketball-reference.com/players/e/earleed01.html,
1557,flemied01,Ed Fleming,1956-1960,0,f,https://www.basketball-reference.com/players/f/flemied01.html,
1558,gaydaed01,Ed Gayda,1951,0,g,https://www.basketball-reference.com/players/g/gaydaed01.html,
1559,grayed01,Ed Gray,1998-1999,0,g,https://www.basketball-reference.com/players/g/grayed01.html,
1560,hortoed01,Ed Horton,1990,0,h,https://www.basketball-reference.com/players/h/hortoed01.html,
1561,johnsed01,Ed Johnson,1969-1971,0,j,https://www.basketball-reference.com/players/j/johnsed01.html,
1562,kalafed01,Ed Kalafat,1955-1957,0,k,https://www.basketball-reference.com/players/k/kalafed01.html,
1563,kasided01,Ed Kasid,1947,0,k,https://www.basketball-reference.com/players/k/kasided01.html,
1564,leedeed01,Ed Leede,1950-1951,0,l,https://www.basketball-reference.com/players/l/leedeed01.html,
1565,macaued01,Ed Macauley,1950-1959,0,m,https://www.basketball-reference.com/players/m/macaued01.html,
1566,mannied01,Ed Manning,1968-1976,0,m,https://www.basketball-reference.com/players/m/mannied01.html,
1567,melvied01,Ed Melvin,1947,0,m,https://www.basketball-reference.com/players/m/melvied01.html,
1568,mikaned01,Ed Mikan,1949-1954,0,m,https://www.basketball-reference.com/players/m/mikaned01.html,
1569,nealyed01,Ed Nealy,1983-1993,0,n,https://www.basketball-reference.com/players/n/nealyed01.html,
1570,obanned01,Ed O'Bannon,1996-1997,0,o,https://www.basketball-reference.com/players/o/obanned01.html,
1571,petered01,Ed Peterson,1950-1951,0,p,https://www.basketball-reference.com/players/p/petered01.html,
1572,pincked01,Ed Pinckney,1986-1997,0,p,https://www.basketball-reference.com/players/p/pincked01.html,
1573,rainsed01,Ed Rains,1982-1983,0,r,https://www.basketball-reference.com/players/r/rainsed01.html,
1574,ratleed01,Ed Ratleff,1974-1978,0,r,https://www.basketball-reference.com/players/r/ratleed01.html,
1575,sadowed01,Ed Sadowski,1947-1950,0,s,https://www.basketball-reference.com/players/s/sadowed01.html,
1576,searced01,Ed Searcy,1976,0,s,https://www.basketball-reference.com/players/s/searced01.html,
1577,sheroed01,Ed Sherod,1983,0,s,https://www.basketball-reference.com/players/s/sheroed01.html,
1578,smithed01,Ed Smith,1954,0,s,https://www.basketball-reference.com/players/s/smithed01.html,
1579,stanced01,Ed Stanczak,1950-1951,0,s,https://www.basketball-reference.com/players/s/stanced01.html,
1580,stokeed01,Ed Stokes,1998,0,s,https://www.basketball-reference.com/players/s/stokeed01.html,
1581,basdeed01,Eddie Basden,2006,0,b,https://www.basketball-reference.com/players/b/basdeed01.html,
1582,gilled01,Eddie Gill,2001-2009,0,g,https://www.basketball-reference.com/players/g/gilled01.html,
1583,griffed01,Eddie Griffin,2002-2007,0,g,https://www.basketball-reference.com/players/g/griffed01.html,
1584,houseed01,Eddie House,2001-2011,0,h,https://www.basketball-reference.com/players/h/houseed01.html,
1585,hugheed01,Eddie Hughes,1988-1990,0,h,https://www.basketball-reference.com/players/h/hugheed01.html,
1586,johnsed02,Eddie Johnson,1978-1987,0,j,https://www.basketball-reference.com/players/j/johnsed02.html,
1587,johnsed03,Eddie Johnson,1982-1999,0,j,https://www.basketball-reference.com/players/j/johnsed03.html,
1588,jonesed02,Eddie Jones,1995-2008,0,j,https://www.basketball-reference.com/players/j/jonesed02.html,
1589,jordaed01,Eddie Jordan,1978-1984,0,j,https://www.basketball-reference.com/players/j/jordaed01.html,
1590,wilkied01,Eddie Lee Wilkins,1985-1993,0,w,https://www.basketball-reference.com/players/w/wilkied01.html,
1591,masted01,Eddie Mast,1971-1973,0,m,https://www.basketball-reference.com/players/m/masted01.html,
1592,milesed01,Eddie Miles,1964-1972,0,m,https://www.basketball-reference.com/players/m/milesed01.html,
