,0,1,2,3,4,5,6
63,miksial01,Al Miksis,1950,0,m,https://www.basketball-reference.com/players/m/miksial01.html,
64,negraal01,Al Negratti,1947,0,n,https://www.basketball-reference.com/players/n/negraal01.html,
65,rogesal01,Al Roges,1954-1955,0,r,https://www.basketball-reference.com/players/r/rogesal01.html,
66,salvaal01,Al Salvadori,1968,0,s,https://www.basketball-reference.com/players/s/salvaal01.html,
67,sandeal01,Al Sanders,1973,0,s,https://www.basketball-reference.com/players/s/sandeal01.html,
68,skinnal01,Al Skinner,1975-1980,0,s,https://www.basketball-reference.com/players/s/skinnal01.html,
69,smithal01,Al Smith,1972-1976,0,s,https://www.basketball-reference.com/players/s/smithal01.html,
70,thornal01,Al Thornton,2008-2011,0,t,https://www.basketball-reference.com/players/t/thornal01.html,
71,tuckeal01,Al Tucker,1968-1972,0,t,https://www.basketball-reference.com/players/t/tuckeal01.html,
72,willial01,Al Williams,1971,0,w,https://www.basketball-reference.com/players/w/willial01.html,
73,woodal01,Al Wood,1982-1987,0,w,https://www.basketball-reference.com/players/w/woodal01.html,
74,aminual01,Al-Farouq Aminu,2011-2019,1,a,https://www.basketball-reference.com/players/a/aminual01.html,
75,abdelal01,Alaa Abdelnaby,1991-1995,0,a,https://www.basketball-reference.com/players/a/abdelal01.html,
76,aminual02,Alade Aminu,-,0,a,https://www.basketball-reference.com/players/a/aminual02.html,
77,anderal01,Alan Anderson,2006-2017,1,a,https://www.basketball-reference.com/players/a/anderal01.html,
78,hardyal01,Alan Hardy,1981-1982,0,h,https://www.basketball-reference.com/players/h/hardyal01.html,
79,hendeal01,Alan Henderson,1996-2007,0,h,https://www.basketball-reference.com/players/h/hendeal01.html,
80,oggal01,Alan Ogg,1991-1993,0,o,https://www.basketball-reference.com/players/o/oggal01.html,
81,sawyeal01,Alan Sawyer,1951,0,s,https://www.basketball-reference.com/players/s/sawyeal01.html,
82,willial03,Alan Williams,2016-2018,1,w,https://www.basketball-reference.com/players/w/willial03.html,
83,tuckeal02,Alando Tucker,2008-2010,0,t,https://www.basketball-reference.com/players/t/tuckeal02.html,
84,kingal01,Albert King,1982-1992,0,k,https://www.basketball-reference.com/players/k/kingal01.html,
85,miralal01,Albert Miralles,-,0,m,https://www.basketball-reference.com/players/m/miralal01.html,
86,brownal01,Alec Brown,-,0,b,https://www.basketball-reference.com/players/b/brownal01.html,
87,burksal01,Alec Burks,2012-2019,1,b,https://www.basketball-reference.com/players/b/burksal01.html,
88,kesslal01,Alec Kessler,1991-1994,0,k,https://www.basketball-reference.com/players/k/kesslal01.html,
89,peteral01,Alec Peters,2018,1,p,https://www.basketball-reference.com/players/p/peteral01.html,
90,djordal01,Aleksandar Djordjevic,1997,0,d,https://www.basketball-reference.com/players/d/djordal01.html,
91,pavloal02,Aleksandar Pavlovic,-,0,p,https://www.basketball-reference.com/players/p/pavloal02.html,
92,radojal01,Aleksandar Radojevic,2000-2005,0,r,https://www.basketball-reference.com/players/r/radojal01.html,
93,vezenal01,Aleksandar Vezenkov,-,0,v,https://www.basketball-reference.com/players/v/vezenal01.html,
94,gential01,Alessandro Gentile,-,0,g,https://www.basketball-reference.com/players/g/gential01.html,
95,abrinal01,Alex Abrines,2017-2019,1,a,https://www.basketball-reference.com/players/a/abrinal01.html,
